29583;7;169
29707;7;170
30510;7;48
30571;7;53
30572;7;55
31821;7;40
31822;7;40
31823;7;40
31824;7;40
31825;7;58
31826;7;58
31827;7;58
31828;7;58
31829;7;120
31830;7;120
31831;7;120
31852;7;43
31889;7;113
31890;7;188
31931;7;196
31932;7;204
31988;7;180
32034;7;103
32179;7;127
32180;7;1
32395;7;217
32404;7;47
32406;7;46
32407;7;49
32628;7;42
32629;7;44
32630;7;45
32631;7;46
32632;7;47
32633;7;49
32634;7;50
32635;7;51
32636;7;52
32637;7;200
32638;7;100
32639;7;201
32640;7;193
32641;7;194
32642;7;104
32643;7;178
32644;7;192
32645;7;112
32646;7;174
32647;7;177
32648;7;206
32649;7;207
32650;7;117
32651;7;173
32652;7;209
32653;7;121
32654;7;109
32655;7;123
32656;7;124
32657;7;125
32658;7;107
32659;7;214
32661;7;108
32662;7;130
32663;7;222
32664;7;225
32665;7;115
32666;7;213
32667;7;212
32668;7;197
32669;7;116
32670;7;198
32671;7;102
32672;7;183
32673;7;189
32674;7;195
32710;7;56
32711;7;73
32721;7;66
32722;7;67
32728;7;63
32729;7;69
32730;7;72
32731;7;83
32732;7;72
32733;7;69
32734;7;65
32735;7;70
32736;7;61
32737;7;59
32738;7;63
32739;7;71
32740;7;114
32741;7;224
32742;7;202
32743;7;216
32744;7;129
32745;7;223
32927;7;208
32928;7;374
32930;7;57
32931;7;54
32952;7;127
32953;7;72
32970;7;82
32971;7;81
32972;7;126
32973;7;110
32974;7;122
32975;7;226
32976;7;181
32977;7;230
32978;7;211
32979;7;171
33016;7;133
33017;7;132
33061;7;261
33062;7;372
33063;7;142
33064;7;262
33065;7;46
33211;7;264
33212;7;266
33250;7;74
33251;7;73
33252;7;218
33346;7;62
33347;7;68
33348;7;64
33349;7;60
33350;7;220
33351;7;134
33352;7;235
33353;7;118
33354;7;111
33359;7;179
33360;7;99
33361;7;172
33362;7;203
33363;7;215
33364;7;234
33365;7;237
33366;7;260
33367;7;131
33368;7;141
33369;7;199
33370;7;229
33371;7;101
33372;7;140
33373;7;175
33374;7;190
33375;7;259
33376;7;258
33378;7;276
33405;7;277
33413;7;132
33432;7;128
