72;36417;ALLB;(W) ANYTIME LS TEE;T-SHIRT M/L;NATURAL BLACK;
73;36454;LULU;LW3EPFS LOVECREWF23;T-SHIRT;TERRA ORANGE;
74;36420;LULU;LM3DBHS 5YBT5PACHF23;T-SHIRT M/C;BONE;
75;36420;LULU;LM3DBHS 5YBT5PACHF23;T-SHIRT M/C;TRUE NAVY;
76;36420;LULU;LM3DBHS 5YBT5PACHF23;T-SHIRT M/C;NOMAD;
77;36420;LULU;LM3DBHS 5YBT5PACHF23;T-SHIRT M/C;KOHLRABI GREEN;
78;36422;LULU;LM3DBHS 5YBT5PACHF23;T-SHIRT M/C;BONE;
79;36422;LULU;LM3DBHS 5YBT5PACHF23;T-SHIRT M/C;TRUE NAVY;
80;36422;LULU;LM3DBHS 5YBT5PACHF23;T-SHIRT M/C;NOMAD;
81;36422;LULU;LM3DBHS 5YBT5PACHF23;T-SHIRT M/C;KOHLRABI GREEN;
82;36679;AMR;MHS256 EL RNNER SHRT;SHORT;BLACK;
83;36680;AMR;MHS256 ELT RUNER SHO;SHORT;PIXEL CLASSIC BLUE;
84;36680;AMR;MHS256 ELT RUNER SHO;SHORT;PIXEL GREY;
85;36681;AMR;MHS252 FALCON  SHORT;SHORT;PIXEL CLASSIC BLUE;
86;36681;AMR;MHS252 FALCON  SHORT;SHORT;PIXEL GREY;
87;36681;AMR;MHS252 FALCON  SHORT;SHORT;PIXEL MAUVE;
88;36452;LULU;LW3ES5S ALLYTEESSF24;T-SHIRT M/C;ESPRESSO;
89;36452;LULU;LW3ES5S ALLYTEESSF24;T-SHIRT M/C;SONIC PINK;
90;36610;STANCE;M2SS1A23BU MINI STR;T-SHIRT M/C;LIGHT BLUE;
91;36611;STANCE;M2SS1A23BU VINTAGE D;T-SHIRT M/C;BLUE;
92;36612;STANCE;WAPPD22BSS VIN SU'24;T-SHIRT M/C;PEACH;
93;36613;STANCE;WAPPA24BRT SU'24;TANK;CANVAS;
94;36614;STANCE;WAPPA24BRT STR SU'24;TANK;BLACK WHITE;
95;36571;AMR;MHJ208 U HUGGR SWTRT;CASACA;BLACK;
96;36571;AMR;MHJ208 U HUGGR SWTRT;CASACA;MAUVE;
97;36684;AMR;FLO VICTORY BRA;BRASIER;IRON BLUE/BLACK;
98;36685;AMR;FLO SP HW PANT;PANTALON;IRON BLUE/BLACK;
99;36463;LULU;LW3GLBS PERFCTOVEF23;SWEATER M/L;BOUNDLESSTRIPE TRUENAVY ANTIQWHT;
100;36281;LACOST;XF7077 PANTALONFW23;PANTALON;FARINE;
101;36454;LULU;LW3EPFS LOVECREWF23;T-SHIRT;ESPRESSO;
102;36455;LULU;LW3ESOS LOVECWLSF23;T-SHIRT M/L;ESPRESSO;
103;36455;LULU;LW3ESOS LOVECWLSF23;T-SHIRT M/L;DRAMATIC MAGENTA;
104;36463;LULU;LW3GLBS PERFCTOVEF23;SWEATER M/L;BOUNDLESS STRIPE BONE BLACK;
105;36469;PUBRED;PR1002 PR GO TO HTR;T-SHIRT M/C;STONE BLUE;
106;36470;PUBRED;PR1002 PR GO TO HTR;T-SHIRT M/C;HTR. BURGUNDY;
107;36470;PUBRED;PR1002 PR GO TO HTR;T-SHIRT M/C;HEATHER CHARCOAL;
108;36470;PUBRED;PR1002 PR GO TO HTR;T-SHIRT M/C;HTR NAVY;
109;36471;PUBRED;PR1002 PR GO TO HTR;T-SHIRT M/C;HTR SILVER SPOON;
110;36472;PUBRED;PR1003 GO TO POLO H;P-SHIRT M/C;MINT;
111;36472;PUBRED;PR1003 GO TO POLO H;P-SHIRT M/C;STONE BLUE;
112;36472;PUBRED;PR1003 GO TO POLO H;P-SHIRT M/C;BRIGHT WHITE;
113;36473;PUBRED;PR1003 GO TO POLO H;P-SHIRT M/C;HTR. BURGUNDY;
114;36474;PUBRED;GOTO V TEE PR1004HTR;T-SHIRT M/C;MINT  PANT. 17-5107 TC;
115;36474;PUBRED;GOTO V TEE PR1004HTR;T-SHIRT M/C;STORM PANT. 19-3927 TCX;
116;36475;PUBRED;PR1005 GO TO SS HTR2;T-SHIRT M/C;HTR. BURGUNDY;
117;36475;PUBRED;PR1005 GO TO SS HTR2;T-SHIRT M/C;HEATHER CHARCOAL;
118;36475;PUBRED;PR1005 GO TO SS HTR2;T-SHIRT M/C;HTR NAVY;
119;36476;PUBRED;PR2004 GO TO HEN HTR;T-SHIRT M/L;BRIGHT WHITE;
120;36477;PUBRED;PR2004 GO TO HEN HTR;T-SHIRT M/L;HEATHER CHARCOAL;
121;36478;PUBRED;PR2009 GO LS TEE HTR;T-SHIRT M/L;STONE BLUE PANT. 18-3916 TCX;
122;36479;PUBRED;PR2009 GO LS TEE HTR;T-SHIRT M/L;HTR. BURGUNDY;
123;36479;PUBRED;PR2009 GO LS TEE HTR;T-SHIRT M/L;HEATHER CHARCOAL;
124;36479;PUBRED;PR2009 GO LS TEE HTR;T-SHIRT M/L;HTR NAVY;
125;36481;PUBRED;PRMT005 GO TO HOODIE;CAPUCHA M/L;HTR SILVER SPOON;
126;36489;PUBRED;GOTO V TEE PR1004HTR;T-SHIRT M/C;HEATHER CHARCOAL;
127;36682;AMR;MMD002 T LONG DRESS;VESTIDO M/C;BLACK;
128;36682;AMR;MMD002 T LONG DRESS;VESTIDO M/C;MINERAL BLUE;
129;36683;AMR;MMD002 TARA LNG DRES;VESTIDO M/C;NATURAL IVORY;
130;36706;AMR;MMJ356 SHERPA JACKET;CASACA;BLACK;
131;36290;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;SUNRISE;
132;36290;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;ANSE;
133;36290;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;LIMEIRA;
134;36383;LACOST;XF7077 PANTALONFW23;PANTALON;LION;
135;36390;LACOST;XF7077 PANTALONFW23;PANTALON;LION;
136;36391;LACOST;SF7099 SWEATERCAFW23;SWEATSHIRT C/CAPUCHA;FARINE;
137;36399;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;SUNRISE;
138;36399;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;ANSE;
139;36399;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;LIMEIRA;
140;36609;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;ASH;
141;36609;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;METHYLENE;
142;36609;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;CERISIER;
143;36609;LACOST;L1212 CHEMISEFW23;P-SHIRT M/C;SPINELLE;
144;36424;LULU;LW1DAGS LOVETANKF23;TANK;ESPRESSO;
145;36425;LULU;LW3ES5S ALLYTEESSF24;T-SHIRT M/C;PIPE DREAM BLUE;
146;36431;LULU;LW1DL1S LACICHEDHF23;TANK;WHITE;
147;36432;LULU;LW1DL2S LACINCHEHF23;TANK;NUEVO_HTR CORE LIGHT GREY;
148;36438;LULU;LW3EPFS LOVECREWF23;T-SHIRT;BLACK;
149;36438;LULU;LW3EPFS LOVECREWF23;T-SHIRT;PALM COURT;
150;36441;LULU;LW1DDWS LOVETANKF23;TANK;HEATHERED MEDIUM FOREST;
151;36447;LULU;LW3ESOS LOVECWLSF23;T-SHIRT M/L;ESPRESSO;
152;36452;LULU;LW3ES5S ALLYTEESSF24;T-SHIRT M/C;DRAMATIC MAGENTA;
153;36455;LULU;LW3ESOS LOVECWLSF23;T-SHIRT M/L;BONE;
154;36461;LULU;LW3FK0S ALLYOUTLSF23;T-SHIRT M/L;BONE;
155;36504;ALLB;(M) ALLDAY ZIP HOODI;SWEATSHIRT C/CAPUCHA;NATURAL BLACK;
156;36504;ALLB;(M) ALLDAY ZIP HOODI;SWEATSHIRT C/CAPUCHA;BARK GREY;
157;36505;ALLB;(M) ANYTIME LS TEEW;T-SHIRT M/L;NATURAL BLACK;
158;36505;ALLB;(M) ANYTIME LS TEEW;T-SHIRT M/L;NATURAL WHITE;
159;36505;ALLB;(M) ANYTIME LS TEEW;T-SHIRT M/L;MEDIUM GREY;
160;36506;ALLB;(M) ALLDAY SWEATPANT;PANTALON;NATURAL BLACK;
161;36506;ALLB;(M) ALLDAY SWEATPANT;PANTALON;BARK GREY;
162;36507;ALLB;(M) ANYTIME SS TEE W;T-SHIRT M/C;NATURAL BLACK;
163;36507;ALLB;(M) ANYTIME SS TEE W;T-SHIRT M/C;NATURAL WHITE;
164;36507;ALLB;(M) ANYTIME SS TEE W;T-SHIRT M/C;MEDIUM GREY;
165;36508;ALLB;(W) ANYTIME LS TEE W;T-SHIRT M/L;NATURAL BLACK;
166;36508;ALLB;(W) ANYTIME LS TEE W;T-SHIRT M/L;NATURAL WHITE;
167;36508;ALLB;(W) ANYTIME LS TEE W;T-SHIRT M/L;MEDIUM GREY;
168;36509;ALLB;(W) ALLDAY HALF ZIP;SWEATSHIRT C/CAPUCHA;NATURAL BLACK;
169;36509;ALLB;(W) ALLDAY HALF ZIP;SWEATSHIRT C/CAPUCHA;BOTANIC RED;
170;36510;ALLB;(W) ALLDAY SWEATPANT;PANTALON;NATURAL BLACK;
